TestName,URL,description,duration,adaptive_support,remote_support,TestType
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks. Approximate Completion Time in minutes = max 30 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. A simulated query writing test that measures the ability to write SQL queri",20,No,Yes,A
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available. Approximate Completion Time in minutes = 35 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by ",20,No,Yes,K
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer. Approximate Completion Time in minutes = 30 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed b",20,No,Yes,A
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency. Approximate Completion Time in minutes = 13 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your",20,No,Yes,C
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class. Approximate Completion Time in minutes = 13 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that measures",20,No,Yes,C
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,"Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents. Approximate Completion Time in minutes = 8 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that measures the knowledge of CSS3 and its application in provi",20,No,Yes,C
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction. Approximate Completion Time in minutes = 25 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us,",20,No,Yes,C
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,"Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media. Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Approximate Completion Time in minutes = 7 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot g",20,No,Yes,C
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security. Approximate Completion Time in minutes = 17 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that measures the knowledge of Drupal setu",20,No,Yes,C
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills. Approximate Completion Time in minutes = 0 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multiple-choice test that measures vocabulary, grammar and reading comprehension skills. Approximate Com",20,No,Yes,K
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,"The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Report Language Availability: English (USA), English International, Portuguese, French Canadian, German, French, Chinese Simplified, Spanish, North American Spanish. English (USA), Spanish, Latin American Spanish, French, German, French (Canada), English International, Chinese Simplified, Portuguese, Approximate Completion Time in minutes = 20 We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for",20,No,Yes,A
